state,district,crop,year,area,production,yield,annual_rainfall,n_high,n_medium,n_low,p_high,p_medium,p_low,k_high,k_medium,k_low,oc_high,oc_medium,oc_low,ph_alkaline,ph_acidic,ph_neutral,ec_nonsaline,ec_saline
andhra pradesh,alluri sitharama raju,Cotton(lint),2022,2682,7614,2.84,,3.26,54.11,42.64,45.75,35.52,18.73,25.14,44.99,29.87,27.25,64.48,8.27,0.12,18.93,80.95,99.81,0.19
andhra pradesh,anakapalli,Cotton(lint),2022,82,230,2.8,,12.1,25.02,62.88,77.89,18.94,3.17,68.33,22.88,8.79,12.98,25.62,61.4,0.62,0.1,99.27,98.99,1.01
andhra pradesh,anantapur,Cotton(lint),2012,28000,35000,1.25,536,0.06,11.63,88.31,84.67,13.94,1.39,70.93,27.33,1.74,4,11.8,84.21,0.88,0.02,99.1,99.61,0.39
andhra pradesh,anantapur,Cotton(lint),2013,37661,77316,2.05,501.7,0.06,11.63,88.31,84.67,13.94,1.39,70.93,27.33,1.74,4,11.8,84.21,0.88,0.02,99.1,99.61,0.39
andhra pradesh,anantapur,Cotton(lint),2014,73734,103779,1.41,437.8,0.06,11.63,88.31,84.67,13.94,1.39,70.93,27.33,1.74,4,11.8,84.21,0.88,0.02,99.1,99.61,0.39
andhra pradesh,anantapur,Cotton(lint),2015,60154,100071,1.66,709,0.06,11.63,88.31,84.67,13.94,1.39,70.93,27.33,1.74,4,11.8,84.21,0.88,0.02,99.1,99.61,0.39
andhra pradesh,anantapur,Cotton(lint),2016,31691,25977,0.82,394.2,0.06,11.63,88.31,84.67,13.94,1.39,70.93,27.33,1.74,4,11.8,84.21,0.88,0.02,99.1,99.61,0.39
andhra pradesh,anantapur,Cotton(lint),2017,45438,128798,2.83,661.2,0.06,11.63,88.31,84.67,13.94,1.39,70.93,27.33,1.74,4,11.8,84.21,0.88,0.02,99.1,99.61,0.39
andhra pradesh,anantapur,Cotton(lint),2018,47976,66591,1.39,390.8,0.06,11.63,88.31,84.67,13.94,1.39,70.93,27.33,1.74,4,11.8,84.21,0.88,0.02,99.1,99.61,0.39
andhra pradesh,anantapur,Cotton(lint),2019,51850,15523,0.3,661.8,0.06,11.63,88.31,84.67,13.94,1.39,70.93,27.33,1.74,4,11.8,84.21,0.88,0.02,99.1,99.61,0.39
andhra pradesh,anantapur,Cotton(lint),2020,40424,35183,0.87,880.3,0.06,11.63,88.31,84.67,13.94,1.39,70.93,27.33,1.74,4,11.8,84.21,0.88,0.02,99.1,99.61,0.39
andhra pradesh,anantapur,Cotton(lint),2021,42806,33668,0.79,966.6,0.06,11.63,88.31,84.67,13.94,1.39,70.93,27.33,1.74,4,11.8,84.21,0.88,0.02,99.1,99.61,0.39
andhra pradesh,anantapur,Cotton(lint),2022,77804,87643,1.13,,0.06,11.63,88.31,84.67,13.94,1.39,70.93,27.33,1.74,4,11.8,84.21,0.88,0.02,99.1,99.61,0.39
andhra pradesh,annamayya,Cotton(lint),2022,50,92,1.84,,0.14,12.54,87.31,35.45,50.58,13.97,73.22,25.36,1.41,4.73,27.19,68.09,2.3,0,97.7,99.85,0.15
andhra pradesh,bapatla,Cotton(lint),2022,4598,9745,2.12,,0.31,40.67,59.02,36.02,45.93,18.05,74.92,22.88,2.19,18.21,30.45,51.34,18,0.95,81.05,81.94,18.06
andhra pradesh,chittoor,Cotton(lint),2012,1000,1000,1,1002.5,0.05,21.35,78.6,37.46,35.76,26.78,50.23,28.79,20.98,5.85,30.3,63.85,1.7,0.28,98.02,99.04,0.96
andhra pradesh,chittoor,Cotton(lint),2013,157,391,2.49,856,0.05,21.35,78.6,37.46,35.76,26.78,50.23,28.79,20.98,5.85,30.3,63.85,1.7,0.28,98.02,99.04,0.96
andhra pradesh,chittoor,Cotton(lint),2014,308,723,2.35,600.4,0.05,21.35,78.6,37.46,35.76,26.78,50.23,28.79,20.98,5.85,30.3,63.85,1.7,0.28,98.02,99.04,0.96
andhra pradesh,chittoor,Cotton(lint),2015,435,761,1.75,1419,0.05,21.35,78.6,37.46,35.76,26.78,50.23,28.79,20.98,5.85,30.3,63.85,1.7,0.28,98.02,99.04,0.96
