state,districts,crop,year,area,production,yield
Andhra Pradesh,Alluri sitharama raju,Cotton(lint),2022,2682.0,7614.0,2.84
Andhra Pradesh,Anakapalli,Cotton(lint),2022,82.0,230.0,2.8
Andhra Pradesh,Anantapur,Cotton(lint),2012,28000.0,35000.0,1.25
Andhra Pradesh,Anantapur,Cotton(lint),2013,37661.0,77316.0,2.05
Andhra Pradesh,Anantapur,Cotton(lint),2014,73734.0,103779.0,1.41
Andhra Pradesh,Anantapur,Cotton(lint),2015,60154.0,100071.0,1.66
Andhra Pradesh,Anantapur,Cotton(lint),2016,31691.0,25977.0,0.82
Andhra Pradesh,Anantapur,Cotton(lint),2017,45438.0,128798.0,2.83
Andhra Pradesh,Anantapur,Cotton(lint),2018,47976.0,66591.0,1.39
Andhra Pradesh,Anantapur,Cotton(lint),2019,51850.0,15523.0,0.3
Andhra Pradesh,Anantapur,Cotton(lint),2020,40424.0,35183.0,0.87
Andhra Pradesh,Anantapur,Cotton(lint),2021,42806.0,33668.0,0.79
Andhra Pradesh,Anantapur,Cotton(lint),2022,77804.0,87643.0,1.13
Andhra Pradesh,Annamayya,Cotton(lint),2022,50.0,92.0,1.84
Andhra Pradesh,Bapatla,Cotton(lint),2022,4598.0,9745.0,2.12
Andhra Pradesh,Chittoor,Cotton(lint),2012,1000.0,1000.0,1.0
Andhra Pradesh,Chittoor,Cotton(lint),2013,157.0,391.0,2.49
Andhra Pradesh,Chittoor,Cotton(lint),2014,308.0,723.0,2.35
Andhra Pradesh,Chittoor,Cotton(lint),2015,435.0,761.0,1.75
Andhra Pradesh,Chittoor,Cotton(lint),2016,517.0,1311.0,2.54
Andhra Pradesh,Chittoor,Cotton(lint),2017,328.0,877.0,2.67
Andhra Pradesh,Chittoor,Cotton(lint),2018,177.0,218.0,1.23
Andhra Pradesh,Chittoor,Cotton(lint),2019,157.0,82.0,0.52
Andhra Pradesh,Chittoor,Cotton(lint),2020,28.0,78.0,2.79
Andhra Pradesh,Chittoor,Cotton(lint),2021,51.0,89.0,1.75
Andhra Pradesh,Chittoor,Cotton(lint),2022,26.0,47.0,1.81
Andhra Pradesh,East godavari,Cotton(lint),2012,17000.0,32000.0,1.88
Andhra Pradesh,East godavari,Cotton(lint),2013,21781.0,24728.0,1.14
Andhra Pradesh,East godavari,Cotton(lint),2014,22433.0,47597.0,2.12
Andhra Pradesh,East godavari,Cotton(lint),2015,20565.0,60153.0,2.93
Andhra Pradesh,East godavari,Cotton(lint),2016,12743.0,33744.0,2.65
Andhra Pradesh,East godavari,Cotton(lint),2017,16364.0,35740.0,2.18
Andhra Pradesh,East godavari,Cotton(lint),2018,11933.0,31637.0,2.65
Andhra Pradesh,East godavari,Cotton(lint),2019,12896.0,6617.0,0.51
Andhra Pradesh,East godavari,Cotton(lint),2020,6962.0,15995.0,2.3
Andhra Pradesh,East godavari,Cotton(lint),2021,5023.0,18529.0,3.69
Andhra Pradesh,East godavari,Cotton(lint),2022,198.0,556.0,2.81
Andhra Pradesh,Eluru,Cotton(lint),2022,3786.0,11402.0,3.01
Andhra Pradesh,Guntur,Cotton(lint),2012,187000.0,709000.0,3.79
Andhra Pradesh,Guntur,Cotton(lint),2013,193207.0,752371.0,3.89
