States,Districts,Crop,Year,Area,Production,Yield
Andhra Pradesh,Alluri sitharama raju,Cotton(lint),2022,2682,7614,2.84
Andhra Pradesh,Anakapalli,Cotton(lint),2022,82,230,2.8
Andhra Pradesh,Anantapur,Cotton(lint),2012,28000,35000,1.25
Andhra Pradesh,Anantapur,Cotton(lint),2013,37661,77316,2.05
Andhra Pradesh,Anantapur,Cotton(lint),2014,73734,103779,1.41
Andhra Pradesh,Anantapur,Cotton(lint),2015,60154,100071,1.66
Andhra Pradesh,Anantapur,Cotton(lint),2016,31691,25977,0.82
Andhra Pradesh,Anantapur,Cotton(lint),2017,45438,128798,2.83
Andhra Pradesh,Anantapur,Cotton(lint),2018,47976,66591,1.39
Andhra Pradesh,Anantapur,Cotton(lint),2019,51850,15523,0.3
Andhra Pradesh,Anantapur,Cotton(lint),2020,40424,35183,0.87
Andhra Pradesh,Anantapur,Cotton(lint),2021,42806,33668,0.79
Andhra Pradesh,Anantapur,Cotton(lint),2022,77804,87643,1.13
Andhra Pradesh,Annamayya,Cotton(lint),2022,50,92,1.84
Andhra Pradesh,Bapatla,Cotton(lint),2022,4598,9745,2.12
Andhra Pradesh,Chittoor,Cotton(lint),2012,1000,1000,1
Andhra Pradesh,Chittoor,Cotton(lint),2013,157,391,2.49
Andhra Pradesh,Chittoor,Cotton(lint),2014,308,723,2.35
Andhra Pradesh,Chittoor,Cotton(lint),2015,435,761,1.75
Andhra Pradesh,Chittoor,Cotton(lint),2016,517,1311,2.54
Andhra Pradesh,Chittoor,Cotton(lint),2017,328,877,2.67
Andhra Pradesh,Chittoor,Cotton(lint),2018,177,218,1.23
Andhra Pradesh,Chittoor,Cotton(lint),2019,157,82,0.52
Andhra Pradesh,Chittoor,Cotton(lint),2020,28,78,2.79
Andhra Pradesh,Chittoor,Cotton(lint),2021,51,89,1.75
Andhra Pradesh,Chittoor,Cotton(lint),2022,26,47,1.81
Andhra Pradesh,East godavari,Cotton(lint),2012,17000,32000,1.88
Andhra Pradesh,East godavari,Cotton(lint),2013,21781,24728,1.14
Andhra Pradesh,East godavari,Cotton(lint),2014,22433,47597,2.12
Andhra Pradesh,East godavari,Cotton(lint),2015,20565,60153,2.93
Andhra Pradesh,East godavari,Cotton(lint),2016,12743,33744,2.65
Andhra Pradesh,East godavari,Cotton(lint),2017,16364,35740,2.18
Andhra Pradesh,East godavari,Cotton(lint),2018,11933,31637,2.65
Andhra Pradesh,East godavari,Cotton(lint),2019,12896,6617,0.51
Andhra Pradesh,East godavari,Cotton(lint),2020,6962,15995,2.3
Andhra Pradesh,East godavari,Cotton(lint),2021,5023,18529,3.69
Andhra Pradesh,East godavari,Cotton(lint),2022,198,556,2.81
Andhra Pradesh,Eluru,Cotton(lint),2022,3786,11402,3.01
Andhra Pradesh,Guntur,Cotton(lint),2012,187000,709000,3.79
Andhra Pradesh,Guntur,Cotton(lint),2013,193207,752371,3.89
Andhra Pradesh,Guntur,Cotton(lint),2014,206374,1075856,5.21
Andhra Pradesh,Guntur,Cotton(lint),2015,198220,768744,3.88
Andhra Pradesh,Guntur,Cotton(lint),2016,141856,654201,4.61
Andhra Pradesh,Guntur,Cotton(lint),2017,183735,802213,4.37
Andhra Pradesh,Guntur,Cotton(lint),2018,176679,743399,4.21
Andhra Pradesh,Guntur,Cotton(lint),2019,182408,167541,0.92
Andhra Pradesh,Guntur,Cotton(lint),2020,162789,458324,2.82
Andhra Pradesh,Guntur,Cotton(lint),2021,109585,383294,3.5
Andhra Pradesh,Guntur,Cotton(lint),2022,27843,90425,3.25
Andhra Pradesh,Kadapa,Cotton(lint),2012,29000,59000,2.03
Andhra Pradesh,Kadapa,Cotton(lint),2013,34119,50175,1.47
Andhra Pradesh,Kadapa,Cotton(lint),2014,34346,57550,1.68
Andhra Pradesh,Kadapa,Cotton(lint),2015,32753,46665,1.42
Andhra Pradesh,Kadapa,Cotton(lint),2016,18840,17430,0.93
Andhra Pradesh,Kadapa,Cotton(lint),2017,24449,17720,0.72
Andhra Pradesh,Kadapa,Cotton(lint),2018,10940,22268,2.04
Andhra Pradesh,Kadapa,Cotton(lint),2019,13410,9576,0.71
Andhra Pradesh,Kadapa,Cotton(lint),2020,15227,15625,1.03
Andhra Pradesh,Kadapa,Cotton(lint),2021,22496,41421,1.84
Andhra Pradesh,Kadapa,Cotton(lint),2022,46263,34651,0.75
Andhra Pradesh,Kakinada,Cotton(lint),2022,2064,7502,3.63
Andhra Pradesh,Krishna,Cotton(lint),2012,65000,209000,3.22
Andhra Pradesh,Krishna,Cotton(lint),2013,59304,224658,3.79
Andhra Pradesh,Krishna,Cotton(lint),2014,55571,261650,4.71
Andhra Pradesh,Krishna,Cotton(lint),2015,52784,200829,3.8
Andhra Pradesh,Krishna,Cotton(lint),2016,37312,159453,4.27
Andhra Pradesh,Krishna,Cotton(lint),2017,48357,195830,4.05
Andhra Pradesh,Krishna,Cotton(lint),2018,47109,174431,3.7
Andhra Pradesh,Krishna,Cotton(lint),2019,48423,37671,0.78
Andhra Pradesh,Krishna,Cotton(lint),2020,47851,111337,2.33
Andhra Pradesh,Krishna,Cotton(lint),2021,36172,137397,3.8
Andhra Pradesh,Krishna,Cotton(lint),2022,320,900,2.81
Andhra Pradesh,Kurnool,Cotton(lint),2012,155000,176000,1.14
Andhra Pradesh,Kurnool,Cotton(lint),2013,203835,679850,3.34
Andhra Pradesh,Kurnool,Cotton(lint),2014,306058,809620,2.65
Andhra Pradesh,Kurnool,Cotton(lint),2015,200123,366412,1.83
Andhra Pradesh,Kurnool,Cotton(lint),2016,176195,531777,3.02
Andhra Pradesh,Kurnool,Cotton(lint),2017,259225,733779,2.83
Andhra Pradesh,Kurnool,Cotton(lint),2018,259498,304183,1.17
Andhra Pradesh,Kurnool,Cotton(lint),2019,274620,153618,0.56
Andhra Pradesh,Kurnool,Cotton(lint),2020,275798,862950,3.13
Andhra Pradesh,Kurnool,Cotton(lint),2021,266365,508867,1.91
Andhra Pradesh,Kurnool,Cotton(lint),2022,272560,615123,2.26
Andhra Pradesh,Nandyal,Cotton(lint),2022,33223,56952,1.71
Andhra Pradesh,Ntr,Cotton(lint),2022,39208,131034,3.34
Andhra Pradesh,Palnadu,Cotton(lint),2022,104942,317708,3.03
Andhra Pradesh,Parvathipuram manyam,Cotton(lint),2022,8845,27229,3.08
Andhra Pradesh,Prakasam,Cotton(lint),2012,67000,208000,3.1
Andhra Pradesh,Prakasam,Cotton(lint),2013,82988,276301,3.33
Andhra Pradesh,Prakasam,Cotton(lint),2014,71520,252407,3.53
Andhra Pradesh,Prakasam,Cotton(lint),2015,58025,163447,2.82
Andhra Pradesh,Prakasam,Cotton(lint),2016,14105,43441,3.08
Andhra Pradesh,Prakasam,Cotton(lint),2017,35076,84281,2.4
Andhra Pradesh,Prakasam,Cotton(lint),2018,38467,77234,2.01
Andhra Pradesh,Prakasam,Cotton(lint),2019,45376,22296,0.49
Andhra Pradesh,Prakasam,Cotton(lint),2020,32175,44541,1.38
Andhra Pradesh,Prakasam,Cotton(lint),2021,32341,62180,1.92
Andhra Pradesh,Prakasam,Cotton(lint),2022,46588,79038,1.7
Andhra Pradesh,Spsr nellore,Cotton(lint),2012,7000,19000,2.71
Andhra Pradesh,Spsr nellore,Cotton(lint),2013,5220,13081,2.51
Andhra Pradesh,Spsr nellore,Cotton(lint),2014,6615,20463,3.09
Andhra Pradesh,Spsr nellore,Cotton(lint),2015,4617,10969,2.38
Andhra Pradesh,Spsr nellore,Cotton(lint),2016,2124,5169,2.43
Andhra Pradesh,Spsr nellore,Cotton(lint),2017,3863,7591,1.97
Andhra Pradesh,Spsr nellore,Cotton(lint),2018,791,2097,2.65
Andhra Pradesh,Spsr nellore,Cotton(lint),2019,1012,435,0.43
Andhra Pradesh,Spsr nellore,Cotton(lint),2020,2748,7539,2.74
Andhra Pradesh,Spsr nellore,Cotton(lint),2021,1936,5741,2.97
Andhra Pradesh,Spsr nellore,Cotton(lint),2022,5207,9765,1.88
Andhra Pradesh,Sri sathya sai,Cotton(lint),2022,5978,3397,0.57
Andhra Pradesh,Srikakulam,Cotton(lint),2012,10000,34000,3.4
Andhra Pradesh,Srikakulam,Cotton(lint),2013,9846,28843,2.93
Andhra Pradesh,Srikakulam,Cotton(lint),2014,9563,42122,4.4
Andhra Pradesh,Srikakulam,Cotton(lint),2015,8883,28105,3.16
Andhra Pradesh,Srikakulam,Cotton(lint),2016,7155,24143,3.37
Andhra Pradesh,Srikakulam,Cotton(lint),2017,7478,27390,3.66
Andhra Pradesh,Srikakulam,Cotton(lint),2018,5488,16246,2.96
Andhra Pradesh,Srikakulam,Cotton(lint),2019,5712,3016,0.53
Andhra Pradesh,Srikakulam,Cotton(lint),2020,3723,13491,3.62
Andhra Pradesh,Srikakulam,Cotton(lint),2021,3457,9619,2.78
Andhra Pradesh,Srikakulam,Cotton(lint),2022,1381,3454,2.5
Andhra Pradesh,Tirupati,Cotton(lint),2022,112,204,1.82
Andhra Pradesh,Visakhapatanam,Cotton(lint),2012,3000,10000,3.33
Andhra Pradesh,Visakhapatanam,Cotton(lint),2013,2798,8196,2.93
Andhra Pradesh,Visakhapatanam,Cotton(lint),2014,2840,12510,4.4
Andhra Pradesh,Visakhapatanam,Cotton(lint),2015,2123,3609,1.7
Andhra Pradesh,Visakhapatanam,Cotton(lint),2016,1652,1950,1.18
Andhra Pradesh,Visakhapatanam,Cotton(lint),2017,1474,2000,1.36
Andhra Pradesh,Visakhapatanam,Cotton(lint),2018,1092,1632,1.49
Andhra Pradesh,Visakhapatanam,Cotton(lint),2019,976,396,0.41
Andhra Pradesh,Visakhapatanam,Cotton(lint),2020,810,660,0.81
Andhra Pradesh,Visakhapatanam,Cotton(lint),2021,274,315,1.15
Andhra Pradesh,Vizianagaram,Cotton(lint),2012,15000,29000,1.93
Andhra Pradesh,Vizianagaram,Cotton(lint),2013,15303,26735,1.75
Andhra Pradesh,Vizianagaram,Cotton(lint),2014,15698,37286,2.38
Andhra Pradesh,Vizianagaram,Cotton(lint),2015,15597,33141,2.12
Andhra Pradesh,Vizianagaram,Cotton(lint),2016,14632,31148,2.13
Andhra Pradesh,Vizianagaram,Cotton(lint),2017,13630,33550,2.46
Andhra Pradesh,Vizianagaram,Cotton(lint),2018,11485,26016,2.27
Andhra Pradesh,Vizianagaram,Cotton(lint),2019,12257,5430,0.44
Andhra Pradesh,Vizianagaram,Cotton(lint),2020,10070,21451,2.13
Andhra Pradesh,Vizianagaram,Cotton(lint),2021,9228,19279,2.09
Andhra Pradesh,Vizianagaram,Cotton(lint),2022,2039,5892,2.89
Andhra Pradesh,West godavari,Cotton(lint),2012,6000,22000,3.67
Andhra Pradesh,West godavari,Cotton(lint),2013,5240,13038,2.49
Andhra Pradesh,West godavari,Cotton(lint),2014,9795,13807,1.41
Andhra Pradesh,West godavari,Cotton(lint),2015,8392,27715,3.3
