States,District,Districts,Year,Annual Rainfall
Andhra Pradesh,Adilabad,Adilabad,2012,1048.8
Andhra Pradesh,Anantapur,Anantapur,2012,536
Andhra Pradesh,Chittoor,Chittoor,2012,1002.5
Andhra Pradesh,Cuddapah,Cuddapah,2012,558.2
Andhra Pradesh,East Godavari,East Godavari,2012,1445.3
Andhra Pradesh,Guntur,Guntur,2012,1012.7
Andhra Pradesh,Hyderabad,Hyderabad,2012,778.8
Andhra Pradesh,Karimnagar,Karimnagar,2012,1046.5
Andhra Pradesh,Khammam,Khammam,2012,1521.1
Andhra Pradesh,Krishna,Krishna,2012,1509.6
Andhra Pradesh,Kurnool,Kurnool,2012,609.3
Andhra Pradesh,Mahbubnagar,Mahbubnagar,2012,632.7
Andhra Pradesh,Medak,Medak,2012,843
Andhra Pradesh,Nalgonda,Nalgonda,2012,673.9
Andhra Pradesh,Nellore,Nellore,2012,911
Andhra Pradesh,Nizamabad,Nizamabad,2012,845.4
Andhra Pradesh,Prakasam,Prakasam,2012,886.4
Andhra Pradesh,Rangareddy,Rangareddy,2012,788.9
Andhra Pradesh,Srikakulam,Srikakulam,2012,1289.2
Andhra Pradesh,Visakhapatnam,Visakhapatnam,2012,1217.9
Andhra Pradesh,Vizianagaram,Vizianagaram,2012,1296.9
Andhra Pradesh,Warangal,Warangal,2012,1231.9
Andhra Pradesh,West Godavari,West Godavari,2012,1611.9
Andhra Pradesh,Adilabad,Adilabad,2013,1607.7
Andhra Pradesh,Anantapur,Anantapur,2013,501.7
Andhra Pradesh,Chittoor,Chittoor,2013,856
Andhra Pradesh,Cuddapah,Cuddapah,2013,689.2
Andhra Pradesh,East Godavari,East Godavari,2013,1120.2
Andhra Pradesh,Guntur,Guntur,2013,1161.5
Andhra Pradesh,Hyderabad,Hyderabad,2013,1088.9
Andhra Pradesh,Karimnagar,Karimnagar,2013,1427.7
Andhra Pradesh,Khammam,Khammam,2013,1503.2
Andhra Pradesh,Krishna,Krishna,2013,1317.3
Andhra Pradesh,Kurnool,Kurnool,2013,703.4
Andhra Pradesh,Mahbubnagar,Mahbubnagar,2013,910.8
Andhra Pradesh,Medak,Medak,2013,1068.1
Andhra Pradesh,Nalgonda,Nalgonda,2013,1146.3
Andhra Pradesh,Nellore,Nellore,2013,871.8
Andhra Pradesh,Nizamabad,Nizamabad,2013,1341
Andhra Pradesh,Prakasam,Prakasam,2013,986.2
Andhra Pradesh,Rangareddy,Rangareddy,2013,971.8
Andhra Pradesh,Srikakulam,Srikakulam,2013,1421.9
